date,open,high,low,close,volume
2/1/2018,351,359.66,348.63,349.25,4187440
1/31/2018,347.51,356.19,345.19,354.31,6199373
1/30/2018,345.14,348.27,342.17,345.82,4710684
1/29/2018,339.85,350.85,338.28,349.53,4738208
1/26/2018,341.5,344,335.71,342.85,4535457
1/25/2018,348.27,349.2,336.4,337.64,6725208
1/24/2018,354.58,354.75,343.52,345.89,5277386
1/23/2018,360,360.5,351,352.79,5447622
1/22/2018,349.4,357.83,349.2,351.56,6199777
1/19/2018,345,350.5899,342.6,350.02,4871181
1/18/2018,345.67,352.3,343.74,344.57,5679629
1/17/2018,340.47,349,339.75,347.16,7092554
1/16/2018,337.54,345,334.8,340.06,6429234
1/12/2018,338.63,340.41,333.67,336.22,4822509
1/11/2018,335.24,344.8099,333.26,337.95,6640863
1/10/2018,332.2,337,330,334.8,4303053
1/9/2018,335.16,338.8,327.405,333.69,7134525
1/8/2018,316,337.0199,315.5,336.41,9832610
1/5/2018,316.62,317.24,312,316.58,4588728
1/4/2018,312.87,318.55,305.68,314.62,9944593
1/3/2018,321,325.25,315.55,317.25,4438520
1/2/2018,312,322.1099,311,320.53,4345615
12/29/2017,316.18,316.41,310,311.35,3769504
12/28/2017,311.75,315.82,309.54,315.36,4306746
12/27/2017,316,317.68,310.75,311.64,4705084
12/26/2017,323.83,323.94,316.58,317.29,4368699
12/22/2017,329.51,330.9214,324.82,325.2,4207602
12/21/2017,329.59,333.74,327.21,331.66,4369994
12/20/2017,332.69,333.1,325.04,328.98,5907378
12/19/2017,340.26,341.4925,330.3,331.1,6820868
12/18/2017,344.9,346.73,337.58,338.87,5466546
12/15/2017,342.04,343.9,335.76,343.45,6921246
12/14/2017,341.01,347.44,336.9,337.89,5792024
12/13/2017,340.93,344.22,336.5,339.03,6217701
12/12/2017,330.45,341.44,330.03,341.03,8715570
12/11/2017,314.63,329.01,313.75,328.91,7926090
12/8/2017,314.6,316.98,311.26,315.13,3466088
12/7/2017,312,318.6341,311.05,311.24,4779590
12/6/2017,300.1,313.39,300,313.26,7184477
12/5/2017,302,308,301,303.7,4643708
12/4/2017,306.5,308.265,300.61,305.2,5834227
12/1/2017,305.44,310.32,305.05,306.53,4286082
11/30/2017,308.56,310.7,304.54,308.85,4345434
11/29/2017,317.3,318,301.23,307.54,8757463
11/28/2017,316.36,320,313.92,317.55,4941703
11/27/2017,313.25,317.34,309.51,316.81,4537779
11/24/2017,313.79,316.41,311,315.55,3244065
11/22/2017,316.77,317.42,311.84,312.6,4913283
11/21/2017,310.86,318.23,308.71,317.81,7256381
11/20/2017,313.79,315.5,304.75,308.74,8241821
11/17/2017,325.67,326.67,313.15,315.05,13720830
11/16/2017,313.99,318.14,311.3,312.5,5794409
11/15/2017,306.01,312.49,301.5,311.3,5951835
11/14/2017,315,316.35,306.9,308.7,5661904
11/13/2017,300.13,316.8,299.11,315.4,7565242
11/10/2017,302.5,308.36,301.85,302.99,4621080
11/9/2017,302.5,304.46,296.3,302.99,5440173
11/8/2017,305.5,306.89,301.3001,304.39,4725355
11/7/2017,301.02,306.5,300.03,306.05,5284844
11/6/2017,307,307.5,299.01,302.78,6480689
11/3/2017,299.5,306.25,295.13,306.09,8885933
11/2/2017,300.13,308.69,292.63,299.26,19771280
11/1/2017,332.25,332.6089,320.26,321.08,8242487
10/31/2017,320.23,331.95,320.18,331.53,5650062
10/30/2017,319.18,323.78,317.25,320.08,4247619
10/27/2017,319.75,324.59,316.66,320.87,6968365
10/26/2017,327.78,330.23,323.2,326.17,5010087
10/25/2017,336.7,337.5,323.56,325.84,8583619
10/24/2017,338.8,342.8,336.16,337.34,4485692
10/23/2017,349.88,349.95,336.25,337.02,5739598
10/20/2017,352.69,354.55,344.34,345.1,4925657
10/19/2017,355.56,357.1465,348.2,351.81,5055715
10/18/2017,355.97,363,354.13,359.65,4936024
10/17/2017,350.91,356.22,350.07,355.75,3290290
10/16/2017,353.76,354.48,347.16,350.6,5373090
10/13/2017,356.98,358.49,353.68,355.57,3538807
10/12/2017,352.95,359.78,352.64,355.68,4073552
10/11/2017,353.89,357.6,351.15,354.6,4494733
10/10/2017,346.8,355.63,345.5305,355.59,6972263
10/9/2017,349.65,351.75,342.67,342.94,7461461
10/6/2017,353.1,360.0992,352.25,356.88,4272866
10/5/2017,356,357.435,351.35,355.33,4167913
10/4/2017,351.25,358.62,349.6,355.01,8147995
10/3/2017,335.9,348.55,331.28,348.14,10122550
10/2/2017,342.52,343.7,335.51,341.53,5227547
9/29/2017,341.86,344.68,338.601,341.1,5099051
9/28/2017,339.88,342.75,335.4,339.6,5309779
9/27/2017,349.9,351.489,340.5,340.97,6027375
9/26/2017,350.93,351.24,340.9,345.25,7149649
9/25/2017,353.15,357.469,342.88,344.99,7587158
9/22/2017,366.49,369.8999,350.88,351.09,8142895
9/21/2017,374.9,376.83,364.51,366.48,4610872
9/20/2017,373,378.249,371.07,373.91,4909958
9/19/2017,380,382.39,373.57,375.1,6435208
9/18/2017,380.25,389.61,377.68,385,7177773
9/15/2017,374.51,380,372.7,379.81,5407227
9/14/2017,364.33,377.96,362.63,377.64,7170263
9/13/2017,363.82,368.07,359.59,366.23,4171185
9/12/2017,364.49,368.76,360.4,362.75,5966204
9/11/2017,351.35,363.71,350,363.69,7651000
9/8/2017,348.99,349.78,342.3,343.4,3261333
9/7/2017,345.98,352.48,343.45,350.61,4235045
9/6/2017,349.5,350.979,341.56,344.53,4082001
9/5/2017,353.8,355.49,345.89,349.59,3836402
9/1/2017,356.12,357.59,353.6902,355.4,3048550
8/31/2017,353.55,358.44,352.82,355.9,4063330
8/30/2017,349.67,353.47,347,353.18,3404165
8/29/2017,339.48,349.05,338.75,347.36,4069303
8/28/2017,347.28,347.35,339.72,345.66,3746240
8/25/2017,354.24,355.69,347.3,348.05,3475186
8/24/2017,352.52,356.66,349.74,352.93,4571574
8/23/2017,338.99,353.49,338.3041,352.77,4941947
8/22/2017,341.13,342.24,337.3725,341.35,4314268
8/21/2017,345.82,345.82,331.85,337.86,6489850
8/18/2017,352.91,354,345.8,347.46,5390805
8/17/2017,361.21,363.3,351.59,351.92,5010825
8/16/2017,363,366.5,362.52,362.91,3406173
8/15/2017,365.2,365.49,359.37,362.33,3084601
8/14/2017,364.63,367.66,362.6,363.8,4507969
8/11/2017,356.97,361.26,353.62,357.87,4357562
8/10/2017,361.6,366.6504,354.66,355.4,7063054
8/9/2017,361,370,358.95,363.53,6881182
